Model,Language,Benchmark,Dataset,Prompt_ID,Old_Top_1_Score,New_Top_1_Score
PolyCoder-0.4B,Java,1,1,1,1,1
PolyCoder-0.4B,Python,2,2,2,2,2
PolyCoder-160M,Java,1,1,1,1,1
PolyCoder-160M,Python,1,1,1,1,1
PolyCoder-2.7B,Java,1,1,1,1,1
PolyCoder-2.7B,Python,2,2,2,2,2
codegen-2B-mono,Python,6,6,6,6,6
codegen-2B-multi,Java,8,8,8,8,8
codegen-2B-multi,Python,4,4,4,4,4
codegen-350M-multi,Java,3,3,3,3,3
codegen-350M-multi,Python,2,2,2,2,2
codeparrot,Python,1,1,1,1,1
codeparrot-small,Python,1,1,1,1,1
gpt3.5,Java,18,18,18,18,18
gpt3.5,Python,1,1,1,1,1
