Benchmark,Prompt_ID,Old_Top_1_Score,New_Top_1_Score
aiXcoder_prompt_gpt3.5_512_10.jsonl,178,1,2
aiXcoder_prompt_gpt3.5_512_10.jsonl,172,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,162,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,119,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,115,0,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,107,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,106,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,103,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,94,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,90,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,79,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,68,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,52,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,41,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,38,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,34,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,23,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,22,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,12,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,171,2,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,168,0,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,148,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,144,2,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,125,1,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,118,3,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,73,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,56,3,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,24,0,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,18,0,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,10,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,176,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,156,2,2
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,148,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,118,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,115,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,114,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,94,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,78,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,76,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,72,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,62,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,58,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,41,1,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,32,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,16,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,15,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,10,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,8,1,3
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,144,1,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,85,0,2
